Velocity: x= 0.232313,  y= 0.000000, dist 2.162634, Mode: VelObs, 
Velocity: x= 0.273178,  y= 0.000000, dist 2.145489, Mode: VelObs, 
Velocity: x= 0.230335,  y= 0.000000, dist 2.105847, Mode: VelObs, 
Velocity: x= -0.223807,  y= 0.000000, dist 2.106996, Mode: VelObs, 
Velocity: x= -0.400000,  y= 0.000000, dist 2.109814, Mode: VelObs, 
Velocity: x= -0.400000,  y= 0.000000, dist 2.166504, Mode: VelObs, 
Velocity: x= -0.400000,  y= 0.000000, dist 2.220480, Mode: VelObs, 
Velocity: x= -0.400000,  y= 0.000000, dist 2.220480, Mode: VelObs, 
Velocity: x= -0.400000,  y= 0.000000, dist 2.251996, Mode: VelObs, 
Velocity: x= -0.400000,  y= 0.000000, dist 2.307536, Mode: VelObs, 
Velocity: x= -0.381375,  y= 0.000000, dist 2.365184, Mode: VelObs, 
Velocity: x= -0.337813,  y= 0.000000, dist 2.388371, Mode: VelObs, 
Velocity: x= -0.311825,  y= 0.000000, dist 2.390663, Mode: VelObs, 
Velocity: x= -0.223686,  y= 0.000000, dist 2.444431, Mode: VelObs, 
Velocity: x= -0.260755,  y= 0.000000, dist 2.446151, Mode: VelObs, 
Velocity: x= -0.228288,  y= 0.000000, dist 2.463344, Mode: VelObs, 
Velocity: x= -0.231157,  y= 0.000000, dist 2.463344, Mode: VelObs, 
Velocity: x= 0.217830,  y= 0.000000, dist 2.494303, Mode: VelObs, 
Velocity: x= 0.417381,  y= 0.000000, dist 2.462364, Mode: VelObs, 
Velocity: x= 0.556471,  y= 0.000000, dist 2.425623, Mode: VelObs, 
Velocity: x= 0.695022,  y= 0.000000, dist 2.381693, Mode: VelObs, 
Velocity: x= 0.700000,  y= 0.000000, dist 2.329022, Mode: VelObs, 
Velocity: x= 0.266804,  y= 0.000000, dist 2.229345, Mode: VelObs, 
Velocity: x= 0.247227,  y= 0.000000, dist 2.193756, Mode: VelObs, 
Velocity: x= 0.228917,  y= 0.000000, dist 2.192097, Mode: VelObs, 
Velocity: x= 0.241714,  y= 0.000000, dist 2.175455, Mode: VelObs, 
Velocity: x= 0.216655,  y= 0.000000, dist 2.140429, Mode: VelObs, 
Velocity: x= 0.245084,  y= 0.000000, dist 2.124903, Mode: VelObs, 
